Федеральный округ,Область,Населённый пункт,Зона влажности,Субъект РФ,,Источник: https://bim-proektstroy.ru/%D0%BE%D0%BD%D0%BB%D0%B0%D0%B9%D0%BD-%D1%81%D0%BF%D1%80%D0%B0%D0%B2%D0%BE%D1%87%D0%BD%D0%B8%D0%BA-%D0%B7%D0%BE%D0%BD-%D0%B2%D0%BB%D0%B0%D0%B6%D0%BD%D0%BE%D1%81%D1%82%D0%B8-%D0%BF%D0%BE-%D1%80%D0%B5/
Сибирский,Кемеровская область - Кузбасс,Салаир,сухая,Кемеровская область,,
Сибирский,Кемеровская область - Кузбасс,Тайга,сухая,Кемеровская область,,
Сибирский,Кемеровская область - Кузбасс,Таштагол,сухая,Кемеровская область,,
Сибирский,Кемеровская область - Кузбасс,Топки,сухая,Кемеровская область,,
Сибирский,Кемеровская область - Кузбасс,Юрга,сухая,Кемеровская область,,
Сибирский,Красноярский край,Артёмовск,сухая,Красноярский край (зона 1 - Красноярск),,
Сибирский,Красноярский край,Ачинск,сухая,Красноярский край (зона 1 - Красноярск),,
Сибирский,Красноярский край,Боготол,сухая,Красноярский край (зона 1 - Красноярск),,
Сибирский,Красноярский край,Бородино,сухая,Красноярский край (зона 1 - Красноярск),,
Сибирский,Красноярский край,Дивногорск,сухая,Красноярский край (зона 1 - Красноярск),,
Сибирский,Красноярский край,Дудинка,сухая,Красноярский край (зона 3 - Норильск),,
Сибирский,Красноярский край,Енисейск,сухая,Красноярский край (зона 1 - Красноярск),,
Сибирский,Красноярский край,Железногорск,сухая,Красноярский край (зона 1 - Красноярск),,
Сибирский,Красноярский край,Заозёрный,сухая,Красноярский край (зона 1 - Красноярск),,
Сибирский,Красноярский край,Зеленогорск,сухая,Красноярский край (зона 1 - Красноярск),,
Сибирский,Красноярский край,Игарка,сухая,Красноярский край (зона 3 - Норильск),,
Сибирский,Красноярский край,Иланский,сухая,Красноярский край (зона 1 - Красноярск),,
Сибирский,Красноярский край,Канск,сухая,Красноярский край (зона 1 - Красноярск),,
Сибирский,Красноярский край,Кодинск,сухая,Красноярский край (зона 1 - Красноярск),,
Сибирский,Красноярский край,Красноярск,сухая,Красноярский край (зона 1 - Красноярск),,
Сибирский,Красноярский край,Лесосибирск,сухая,Красноярский край (зона 1 - Красноярск),,
Сибирский,Красноярский край,Минусинск,сухая,Красноярский край (зона 1 - Красноярск),,
Сибирский,Красноярский край,Назарово,сухая,Красноярский край (зона 1 - Красноярск),,
Сибирский,Красноярский край,Норильск,сухая,Красноярский край (зона 3 - Норильск),,
Сибирский,Красноярский край,Сосновоборск,сухая,Красноярский край (зона 1 - Красноярск),,
Сибирский,Красноярский край,Ужур,сухая,Красноярский край (зона 1 - Красноярск),,
Сибирский,Красноярский край,Уяр,сухая,Красноярский край (зона 1 - Красноярск),,
Сибирский,Красноярский край,Шарыпово,сухая,Красноярский край (зона 1 - Красноярск),,
Сибирский,Новосибирская область,Барабинск,сухая,Новосибирская область,,
Сибирский,Новосибирская область,Бердск,сухая,Новосибирская область,,
Сибирский,Новосибирская область,Болотное,сухая,Новосибирская область,,
Сибирский,Новосибирская область,Искитим,сухая,Новосибирская область,,
Сибирский,Новосибирская область,Карасук,сухая,Новосибирская область,,
Сибирский,Новосибирская область,Каргат,сухая,Новосибирская область,,
Сибирский,Новосибирская область,Куйбышев,сухая,Новосибирская область,,
Сибирский,Новосибирская область,Купино,сухая,Новосибирская область,,
Сибирский,Новосибирская область,Новосибирск,сухая,Новосибирская область,,
Сибирский,Новосибирская область,Обь,сухая,Новосибирская область,,
Сибирский,Новосибирская область,Татарск,сухая,Новосибирская область,,
Сибирский,Новосибирская область,Тогучин,сухая,Новосибирская область,,
Сибирский,Новосибирская область,Черепаново,сухая,Новосибирская область,,
Сибирский,Новосибирская область,Чулым,сухая,Новосибирская область,,
Сибирский,Омская область,Исилькуль,сухая,Омская область,,
Сибирский,Омская область,Калачинск,сухая,Омская область,,
Сибирский,Омская область,Называевск,сухая,Омская область,,
Сибирский,Омская область,Омск,сухая,Омская область,,
Сибирский,Омская область,Тара,сухая,Омская область,,
Сибирский,Омская область,Тюкалинск,сухая,Омская область,,
Сибирский,Республика Бурятия,Бабушкин,сухая,Республика Бурятия,,
Сибирский,Республика Бурятия,Гусиноозёрск,сухая,Республика Бурятия,,
Сибирский,Республика Бурятия,Закаменск,сухая,Республика Бурятия,,
Сибирский,Республика Бурятия,Кяхта,сухая,Республика Бурятия,,
Сибирский,Республика Бурятия,Северобайкальск,сухая,Республика Бурятия,,
Сибирский,Республика Бурятия,Улан-Удэ,сухая,Республика Бурятия,,
Сибирский,Республика Тыва,Кызыл,сухая,Республика Тыва,,
Сибирский,Республика Тыва,Ак-Довурак,сухая,Республика Тыва,,
Сибирский,Республика Тыва,Шагонар,сухая,Республика Тыва,,
Сибирский,Республика Тыва,Чадан,сухая,Республика Тыва,,
Сибирский,Республика Тыва,Туран,сухая,Республика Тыва,,
Сибирский,Республика Тыва,Каа-Хем,сухая,Республика Тыва,,
Сибирский,Республика Хакасия,Абаза,сухая,Республика Хакасия,,
Сибирский,Республика Хакасия,Абакан,сухая,Республика Хакасия,,
Сибирский,Республика Хакасия,Саяногорск,сухая,Республика Хакасия,,
Сибирский,Республика Хакасия,Сорск,сухая,Республика Хакасия,,
Сибирский,Республика Хакасия,Черногорск,сухая,Республика Хакасия,,
Сибирский,Томская область,Томск,сухая,Томская область,,
Сибирский,Томская область,Асино,сухая,Томская область,,
Сибирский,Томская область,Кедровый,сухая,Томская область,,
Сибирский,Томская область,Колпашево,сухая,Томская область,,
Сибирский,Томская область,Северск,сухая,Томская область,,
Сибирский,Томская область,Стрежевой,сухая,Томская область,,
Сибирский,Томская область,Белый Яр,сухая,Томская область,,
Центральный,Тульская область,Алексин,нормальная,Тульская область,,
Центральный,Тульская область,Белёв,нормальная,Тульская область,,
Центральный,Тульская область,Богородицк,нормальная,Тульская область,,
Центральный,Тульская область,Болохово,нормальная,Тульская область,,
Центральный,Тульская область,Венёв,нормальная,Тульская область,,
Центральный,Тульская область,Донской,нормальная,Тульская область,,
Центральный,Тульская область,Ефремов,нормальная,Тульская область,,
Центральный,Тульская область,Кимовск,нормальная,Тульская область,,
Центральный,Тульская область,Киреевск,нормальная,Тульская область,,
Центральный,Тульская область,Липки,нормальная,Тульская область,,
Центральный,Тульская область,Новомосковск,нормальная,Тульская область,,
Центральный,Тульская область,Плавск,нормальная,Тульская область,,
Центральный,Тульская область,Советск,нормальная,Тульская область,,
Центральный,Тульская область,Суворов,нормальная,Тульская область,,
Центральный,Тульская область,Тула,нормальная,Тульская область,,
Центральный,Тульская область,Узловая,нормальная,Тульская область,,
Центральный,Тульская область,Чекалин,нормальная,Тульская область,,
Центральный,Тульская область,Щёкино,нормальная,Тульская область,,
Центральный,Тульская область,Ясногорск,нормальная,Тульская область,,
Дальневосточный,Амурская область,Белогорск,нормальная,Амурская область,,
Дальневосточный,Амурская область,Благовещенск,нормальная,Амурская область,,
Дальневосточный,Амурская область,Завитинск,нормальная,Амурская область,,
Дальневосточный,Амурская область,Зея,нормальная,Амурская область,,
Дальневосточный,Амурская область,Райчихинск,нормальная,Амурская область,,
Дальневосточный,Амурская область,Свободный,нормальная,Амурская область,,
Дальневосточный,Амурская область,Сковородино,нормальная,Амурская область,,
Дальневосточный,Амурская область,Тында,нормальная,Амурская область,,
Дальневосточный,Амурская область,Циолковский,нормальная,Амурская область,,
Дальневосточный,Амурская область,Шимановск,нормальная,Амурская область,,
Дальневосточный,Еврейская автономная область,Биробиджан,нормальная,Еврейская автономная область,,
Дальневосточный,Еврейская автономная область,Облучье,нормальная,Еврейская автономная область,,
Дальневосточный,Магаданская область,Магадан,нормальная,Магаданская область,,
Дальневосточный,Магаданская область,Сусуман,нормальная,Магаданская область,,
Дальневосточный,Камчатский край,Вилючинск,нормальная,Камчатский край,,
Дальневосточный,Камчатский край,Елизово,нормальная,Камчатский край,,
Дальневосточный,Камчатский край (Петропавловск Камчатский),Петропавловск-Камчатский,влажная,Камчатский край,,
Дальневосточный,Приморский край,Арсеньев,влажная,Приморский край,,
Дальневосточный,Приморский край,Артём,влажная,Приморский край,,
Дальневосточный,Приморский край,Большой Камень,влажная,Приморский край,,
Дальневосточный,Приморский край,Владивосток,влажная,Приморский край,,
Дальневосточный,Приморский край,Дальнегорск,влажная,Приморский край,,
Дальневосточный,Приморский край,Дальнереченск,влажная,Приморский край,,
Дальневосточный,Приморский край,Лесозаводск,влажная,Приморский край,,
Дальневосточный,Приморский край,Находка,влажная,Приморский край,,
Дальневосточный,Приморский край,Партизанск,влажная,Приморский край,,
Дальневосточный,Приморский край,Спасск-Дальний,влажная,Приморский край,,
Дальневосточный,Приморский край,Уссурийск,влажная,Приморский край,,
Дальневосточный,Приморский край,Фокино,влажная,Приморский край,,
Дальневосточный,Республика Саха (Якутия),Алдан,сухая,Республика Саха (Якутия) (зона 1 - Якутск),,
Дальневосточный,Республика Саха (Якутия),Верхоянск,сухая,Республика Саха (Якутия) (зона 2 - Жиганск),,
Дальневосточный,Республика Саха (Якутия),Вилюйск,сухая,Республика Саха (Якутия) (зона 1 - Якутск),,
Дальневосточный,Республика Саха (Якутия),Ленск,сухая,Республика Саха (Якутия) (зона 1 - Якутск),,
Дальневосточный,Республика Саха (Якутия),Мирный,сухая,Республика Саха (Якутия) (зона 1 - Якутск),,
Дальневосточный,Республика Саха (Якутия),Нерюнгри,сухая,Республика Саха (Якутия) (зона 1 - Якутск),,
Дальневосточный,Республика Саха (Якутия),Нюрба,сухая,Республика Саха (Якутия) (зона 1 - Якутск),,
Дальневосточный,Республика Саха (Якутия),Олёкминск,сухая,Республика Саха (Якутия) (зона 1 - Якутск),,
Дальневосточный,Республика Саха (Якутия),Покровск,сухая,Республика Саха (Якутия) (зона 1 - Якутск),,
Дальневосточный,Республика Саха (Якутия),Среднеколымск,сухая,Республика Саха (Якутия) (зона 2 - Жиганск),,
Дальневосточный,Республика Саха (Якутия),Томмот,сухая,Республика Саха (Якутия) (зона 1 - Якутск),,
Дальневосточный,Республика Саха (Якутия),Удачный,сухая,Республика Саха (Якутия) (зона 2 - Жиганск),,
Дальневосточный,Республика Саха (Якутия),Якутск,сухая,Республика Саха (Якутия) (зона 1 - Якутск),,
Дальневосточный,Сахалинская область,Александровск-Сахалинский,влажная,Сахалинская область,,
Дальневосточный,Сахалинская область,Анива,влажная,Сахалинская область,,
Дальневосточный,Сахалинская область,Долинск,влажная,Сахалинская область,,
Дальневосточный,Сахалинская область,Корсаков,влажная,Сахалинская область,,
Дальневосточный,Сахалинская область,Курильск,влажная,Сахалинская область,,
Дальневосточный,Сахалинская область,Макаров,влажная,Сахалинская область,,
Дальневосточный,Сахалинская область,Невельск,влажная,Сахалинская область,,
Дальневосточный,Сахалинская область,Оха,влажная,Сахалинская область,,
Дальневосточный,Сахалинская область,Поронайск,влажная,Сахалинская область,,
Дальневосточный,Сахалинская область,Северо-Курильск,влажная,Сахалинская область,,
Дальневосточный,Сахалинская область,Томари,влажная,Сахалинская область,,
Дальневосточный,Сахалинская область,Углегорск,влажная,Сахалинская область,,
Дальневосточный,Сахалинская область,Холмск,влажная,Сахалинская область,,
Дальневосточный,Сахалинская область,Южно-Сахалинск,влажная,Сахалинская область,,
Дальневосточный,Хабаровский край,Хабаровск,нормальная,Хабаровский край,,
Дальневосточный,Хабаровский край,Амурск,нормальная,Хабаровский край,,
Дальневосточный,Хабаровский край,Бикин,нормальная,Хабаровский край,,
Дальневосточный,Хабаровский край,Комсомольск-на-Амуре,нормальная,Хабаровский край,,
Дальневосточный,Хабаровский край,Николаевск-на-Амуре,нормальная,Хабаровский край,,
Дальневосточный,Хабаровский край,Советская Гавань,нормальная,Хабаровский край,,
Дальневосточный,Чукотский автономный округ,Анадырь,нормальная,Чукотский автономный округ,,
Дальневосточный,Чукотский автономный округ,Билибино,нормальная,Чукотский автономный округ,,
Дальневосточный,Чукотский автономный округ,Певек,нормальная,Чукотский автономный округ,,
Северо-Западный,Архангельская область,Архангельск,влажная,Архангельская область,,
Северо-Западный,Архангельская область,Вельск,влажная,Архангельская область,,
Северо-Западный,Архангельская область,Каргополь,влажная,Архангельская область,,
Северо-Западный,Архангельская область,Коряжма,влажная,Архангельская область,,
Северо-Западный,Архангельская область,Котлас,влажная,Архангельская область,,
Северо-Западный,Архангельская область,Мезень,влажная,Архангельская область,,
Северо-Западный,Архангельская область,Мирный,влажная,Архангельская область,,
Северо-Западный,Архангельская область,Новодвинск,влажная,Архангельская область,,
Северо-Западный,Архангельская область,Няндома,влажная,Архангельская область,,
Северо-Западный,Архангельская область,Онега,влажная,Архангельская область,,
Северо-Западный,Архангельская область,Северодвинск,влажная,Архангельская область,,
Северо-Западный,Архангельская область,Сольвычегодск,влажная,Архангельская область,,
Северо-Западный,Архангельская область,Шенкурск,влажная,Архангельская область,,
Северо-Западный,Вологодская область,Бабаево,нормальная,Вологодская область,,
Северо-Западный,Вологодская область,Белозерск,нормальная,Вологодская область,,
Северо-Западный,Вологодская область,Великий Устюг,нормальная,Вологодская область,,
Северо-Западный,Вологодская область,Вологда,нормальная,Вологодская область,,
Северо-Западный,Вологодская область,Вытегра,нормальная,Вологодская область,,
Северо-Западный,Вологодская область,Грязовец,нормальная,Вологодская область,,
Северо-Западный,Вологодская область,Кадников,нормальная,Вологодская область,,
Северо-Западный,Вологодская область,Кириллов,нормальная,Вологодская область,,
Северо-Западный,Вологодская область,Красавино,нормальная,Вологодская область,,
Северо-Западный,Вологодская область,Никольск,нормальная,Вологодская область,,
Северо-Западный,Вологодская область,Сокол,нормальная,Вологодская область,,
Северо-Западный,Вологодская область,Тотьма,нормальная,Вологодская область,,
Северо-Западный,Вологодская область,Устюжна,нормальная,Вологодская область,,
Северо-Западный,Вологодская область,Харовск,нормальная,Вологодская область,,
Северо-Западный,Вологодская область,Череповец,нормальная,Вологодская область,,
Северо-Западный,Калининградская область,Багратионовск,влажная,Калининградская область,,
Северо-Западный,Калининградская область,Балтийск,влажная,Калининградская область,,
Северо-Западный,Калининградская область,Гвардейск,влажная,Калининградская область,,
Северо-Западный,Калининградская область,Гурьевск,влажная,Калининградская область,,
Северо-Западный,Калининградская область,Гусев,влажная,Калининградская область,,
Северо-Западный,Калининградская область,Зеленоградск,влажная,Калининградская область,,
Северо-Западный,Калининградская область,Калининград,влажная,Калининградская область,,
Северо-Западный,Калининградская область,Краснознаменск,влажная,Калининградская область,,
Северо-Западный,Калининградская область,Ладушкин,влажная,Калининградская область,,
Северо-Западный,Калининградская область,Мамоново,влажная,Калининградская область,,
Северо-Западный,Калининградская область,Неман,влажная,Калининградская область,,
Северо-Западный,Калининградская область,Нестеров,влажная,Калининградская область,,
Северо-Западный,Калининградская область,Озёрск,влажная,Калининградская область,,
Северо-Западный,Калининградская область,Пионерский,влажная,Калининградская область,,
Северо-Западный,Калининградская область,Полесск,влажная,Калининградская область,,
Северо-Западный,Калининградская область,Правдинск,влажная,Калининградская область,,
Северо-Западный,Калининградская область,Приморск,влажная,Калининградская область,,
Северо-Западный,Калининградская область,Светлогорск,влажная,Калининградская область,,
Северо-Западный,Калининградская область,Светлый,влажная,Калининградская область,,
Северо-Западный,Калининградская область,Славск,влажная,Калининградская область,,
Северо-Западный,Калининградская область,Советск,влажная,Калининградская область,,
Северо-Западный,Калининградская область,Черняховск,влажная,Калининградская область,,
Северо-Западный,Ленинградская область,Бокситогорск,влажная,Ленинградская область,,
Северо-Западный,Ленинградская область,Волосово,влажная,Ленинградская область,,
Северо-Западный,Ленинградская область,Волхов,влажная,Ленинградская область,,
Северо-Западный,Ленинградская область,Всеволожск,влажная,Ленинградская область,,
Северо-Западный,Ленинградская область,Выборг,влажная,Ленинградская область,,
Северо-Западный,Ленинградская область,Высоцк,влажная,Ленинградская область,,
Северо-Западный,Ленинградская область,Гатчина,влажная,Ленинградская область,,
Северо-Западный,Ленинградская область,Ивангород,влажная,Ленинградская область,,
Северо-Западный,Ленинградская область,Каменногорск,влажная,Ленинградская область,,
Северо-Западный,Ленинградская область,Кингисепп,влажная,Ленинградская область,,
Северо-Западный,Ленинградская область,Кириши,влажная,Ленинградская область,,
Северо-Западный,Ленинградская область,Кировск,влажная,Ленинградская область,,
Северо-Западный,Ленинградская область,Коммунар,влажная,Ленинградская область,,
Северо-Западный,Ленинградская область,Кудрово,влажная,Ленинградская область,,
Северо-Западный,Ленинградская область,Лодейное Поле,влажная,Ленинградская область,,
Северо-Западный,Ленинградская область,Луга,влажная,Ленинградская область,,
Северо-Западный,Ленинградская область,Любань,влажная,Ленинградская область,,
Северо-Западный,Ленинградская область,Мурино,влажная,Ленинградская область,,
Северо-Западный,Ленинградская область,Никольское,влажная,Ленинградская область,,
Северо-Западный,Ленинградская область,Новая Ладога,влажная,Ленинградская область,,
Северо-Западный,Ленинградская область,Отрадное,влажная,Ленинградская область,,
Северо-Западный,Ленинградская область,Пикалёво,влажная,Ленинградская область,,
Северо-Западный,Ленинградская область,Подпорожье,влажная,Ленинградская область,,
Северо-Западный,Ленинградская область,Приморск,влажная,Ленинградская область,,
Северо-Западный,Ленинградская область,Приозерск,влажная,Ленинградская область,,
Северо-Западный,Ленинградская область,Светогорск,влажная,Ленинградская область,,
Северо-Западный,Ленинградская область,Сертолово,влажная,Ленинградская область,,
Северо-Западный,Ленинградская область,Сланцы,влажная,Ленинградская область,,
Северо-Западный,Ленинградская область,Сосновый Бор,влажная,Ленинградская область,,
Северо-Западный,Ленинградская область,Сясьстрой,влажная,Ленинградская область,,
Северо-Западный,Ленинградская область,Тихвин,влажная,Ленинградская область,,
Северо-Западный,Ленинградская область,Тосно,влажная,Ленинградская область,,
Северо-Западный,Ленинградская область,Шлиссельбург,влажная,Ленинградская область,,
Северо-Западный,Мурманская область,Апатиты,влажная,Мурманская область,,
Северо-Западный,Мурманская область,Гаджиево,влажная,Мурманская область,,
Северо-Западный,Мурманская область,Заозёрск,влажная,Мурманская область,,
Северо-Западный,Мурманская область,Заполярный,влажная,Мурманская область,,
Северо-Западный,Мурманская область,Кандалакша,влажная,Мурманская область,,
Северо-Западный,Мурманская область,Кировск,влажная,Мурманская область,,
Северо-Западный,Мурманская область,Ковдор,влажная,Мурманская область,,
Северо-Западный,Мурманская область,Кола,влажная,Мурманская область,,
Северо-Западный,Мурманская область,Мончегорск,влажная,Мурманская область,,
Северо-Западный,Мурманская область,Мурманск,влажная,Мурманская область,,
Северо-Западный,Мурманская область,Оленегорск,влажная,Мурманская область,,
Северо-Западный,Мурманская область,Островной,влажная,Мурманская область,,
Северо-Западный,Мурманская область,Полярные Зори,влажная,Мурманская область,,
Северо-Западный,Мурманская область,Полярный,влажная,Мурманская область,,
Северо-Западный,Мурманская область,Североморск,влажная,Мурманская область,,
Северо-Западный,Мурманская область,Снежногорск,влажная,Мурманская область,,
Северо-Западный,Ненецкий автономный округ,Нарьян-Мар,нормальная,Ненецкий автономный округ,,
Северо-Западный,Новгородская область,Боровичи,нормальная,Новгородская область,,
Северо-Западный,Новгородская область,Валдай,нормальная,Новгородская область,,
Северо-Западный,Новгородская область,Великий Новгород,нормальная,Новгородская область,,
Северо-Западный,Новгородская область,Малая Вишера,нормальная,Новгородская область,,
Северо-Западный,Новгородская область,Окуловка,нормальная,Новгородская область,,
Северо-Западный,Новгородская область,Пестово,нормальная,Новгородская область,,
Северо-Западный,Новгородская область,Сольцы,нормальная,Новгородская область,,
Северо-Западный,Новгородская область,Старая Русса,нормальная,Новгородская область,,
Северо-Западный,Новгородская область,Холм,нормальная,Новгородская область,,
Северо-Западный,Новгородская область,Чудово,нормальная,Новгородская область,,
Северо-Западный,Псковская область,Великие Луки,нормальная,Псковская область,,
Северо-Западный,Псковская область,Гдов,нормальная,Псковская область,,
Северо-Западный,Псковская область,Дно,нормальная,Псковская область,,
Северо-Западный,Псковская область,Невель,нормальная,Псковская область,,
Северо-Западный,Псковская область,Новоржев,нормальная,Псковская область,,
Северо-Западный,Псковская область,Новосокольники,нормальная,Псковская область,,
Северо-Западный,Псковская область,Опочка,нормальная,Псковская область,,
Северо-Западный,Псковская область,Остров,нормальная,Псковская область,,
Северо-Западный,Псковская область,Печоры,нормальная,Псковская область,,
Северо-Западный,Псковская область,Порхов,нормальная,Псковская область,,
Северо-Западный,Псковская область,Псков,нормальная,Псковская область,,
Северо-Западный,Псковская область,Пустошка,нормальная,Псковская область,,
Северо-Западный,Псковская область,Пыталово,нормальная,Псковская область,,
Северо-Западный,Псковская область,Себеж,нормальная,Псковская область,,
Северо-Западный,Республика Карелия,Беломорск,влажная,Республика Карелия,,
Северо-Западный,Республика Карелия,Кемь,влажная,Республика Карелия,,
Северо-Западный,Республика Карелия,Кондопога,влажная,Республика Карелия,,
Северо-Западный,Республика Карелия,Костомукша,влажная,Республика Карелия,,
Северо-Западный,Республика Карелия,Лахденпохья,влажная,Республика Карелия,,
Северо-Западный,Республика Карелия,Медвежьегорск,влажная,Республика Карелия,,
Северо-Западный,Республика Карелия,Олонец,влажная,Республика Карелия,,
Северо-Западный,Республика Карелия,Петрозаводск,влажная,Республика Карелия,,
Северо-Западный,Республика Карелия,Питкяранта,влажная,Республика Карелия,,
Северо-Западный,Республика Карелия,Пудож,влажная,Республика Карелия,,
Северо-Западный,Республика Карелия,Сегежа,влажная,Республика Карелия,,
Северо-Западный,Республика Карелия,Сортавала,влажная,Республика Карелия,,
Северо-Западный,Республика Карелия,Суоярви,влажная,Республика Карелия,,
Северо-Западный,Республика Коми,Воркута,нормальная,Республика Коми,,
Северо-Западный,Республика Коми,Вуктыл,нормальная,Республика Коми,,
Северо-Западный,Республика Коми,Емва,нормальная,Республика Коми,,
Северо-Западный,Республика Коми,Инта,нормальная,Республика Коми,,
Северо-Западный,Республика Коми,Микунь,нормальная,Республика Коми,,
Северо-Западный,Республика Коми,Печора,нормальная,Республика Коми,,
Северо-Западный,Республика Коми,Сосногорск,нормальная,Республика Коми,,
Северо-Западный,Республика Коми,Сыктывкар,нормальная,Республика Коми,,
Северо-Западный,Республика Коми,Усинск,нормальная,Республика Коми,,
Северо-Западный,Республика Коми,Ухта,нормальная,Республика Коми,,
Северо-Западный,Санкт-Петербург,Санкт-Петербург,влажная,г. Санкт-Петербург,,
Северо-Кавказский,Кабардино-Балкария,Баксан,нормальная,Кабардино-Балкарская Республика,,
Северо-Кавказский,Кабардино-Балкария,Майский,нормальная,Кабардино-Балкарская Республика,,
Северо-Кавказский,Кабардино-Балкария,Нальчик,нормальная,Кабардино-Балкарская Республика,,
Северо-Кавказский,Кабардино-Балкария,Нарткала,нормальная,Кабардино-Балкарская Республика,,
Северо-Кавказский,Кабардино-Балкария,Прохладный,нормальная,Кабардино-Балкарская Республика,,
Северо-Кавказский,Кабардино-Балкария,Терек,нормальная,Кабардино-Балкарская Республика,,
Северо-Кавказский,Кабардино-Балкария,Тырныауз,нормальная,Кабардино-Балкарская Республика,,
Северо-Кавказский,Кабардино-Балкария,Чегем,нормальная,Кабардино-Балкарская Республика,,
Северо-Кавказский,Карачаево-Черкесия,Карачаевск,нормальная,Карачаево-Черкесская Республика,,
Северо-Кавказский,Карачаево-Черкесия,Теберда,нормальная,Карачаево-Черкесская Республика,,
Северо-Кавказский,Карачаево-Черкесия,Усть-Джегута,нормальная,Карачаево-Черкесская Республика,,
Северо-Кавказский,Карачаево-Черкесия,Черкесск,нормальная,Карачаево-Черкесская Республика,,
Северо-Кавказский,Республика Дагестан,Буйнакск,нормальная,Республика Дагестан,,
Северо-Кавказский,Республика Дагестан,Дагестанские Огни,нормальная,Республика Дагестан,,
Северо-Кавказский,Республика Дагестан,Дербент,нормальная,Республика Дагестан,,
Северо-Кавказский,Республика Дагестан,Избербаш,нормальная,Республика Дагестан,,
Северо-Кавказский,Республика Дагестан,Каспийск,нормальная,Республика Дагестан,,
Северо-Кавказский,Республика Дагестан,Кизилюрт,нормальная,Республика Дагестан,,
Северо-Кавказский,Республика Дагестан,Кизляр,нормальная,Республика Дагестан,,
Северо-Кавказский,Республика Дагестан,Махачкала,нормальная,Республика Дагестан,,
Северо-Кавказский,Республика Дагестан,Хасавюрт,нормальная,Республика Дагестан,,
Северо-Кавказский,Республика Дагестан,Южно-Сухокумск,нормальная,Республика Дагестан,,
Северо-Кавказский,Республика Ингушетия,Карабулак,нормальная,Республика Ингушетия,,
Северо-Кавказский,Республика Ингушетия,Магас,нормальная,Республика Ингушетия,,
Северо-Кавказский,Республика Ингушетия,Малгобек,нормальная,Республика Ингушетия,,
Северо-Кавказский,Республика Ингушетия,Назрань,нормальная,Республика Ингушетия,,
Северо-Кавказский,Республика Ингушетия,Сунжа,нормальная,Республика Ингушетия,,
Северо-Кавказский,Республика Северная Осетия - Алания,Алагир,нормальная,Республика Северная Осетия - Алания,,
Северо-Кавказский,Республика Северная Осетия - Алания,Ардон,нормальная,Республика Северная Осетия - Алания,,
Северо-Кавказский,Республика Северная Осетия - Алания,Беслан,нормальная,Республика Северная Осетия - Алания,,
Северо-Кавказский,Республика Северная Осетия - Алания,Владикавказ,нормальная,Республика Северная Осетия - Алания,,
Северо-Кавказский,Республика Северная Осетия - Алания,Дигора,нормальная,Республика Северная Осетия - Алания,,
Северо-Кавказский,Республика Северная Осетия - Алания,Заводской,нормальная,Республика Северная Осетия - Алания,,
Северо-Кавказский,Республика Северная Осетия - Алания,Моздок,нормальная,Республика Северная Осетия - Алания,,
Северо-Кавказский,Ставропольский край,Благодарный,нормальная,Ставропольский край,,
Северо-Кавказский,Ставропольский край,Будённовск,нормальная,Ставропольский край,,
Северо-Кавказский,Ставропольский край,Георгиевск,нормальная,Ставропольский край,,
Северо-Кавказский,Ставропольский край,Ессентуки,нормальная,Ставропольский край,,
Северо-Кавказский,Ставропольский край,Железноводск,нормальная,Ставропольский край,,
Северо-Кавказский,Ставропольский край,Зеленокумск,нормальная,Ставропольский край,,
Северо-Кавказский,Ставропольский край,Изобильный,нормальная,Ставропольский край,,
Северо-Кавказский,Ставропольский край,Ипатово,нормальная,Ставропольский край,,
Северо-Кавказский,Ставропольский край,Кисловодск,нормальная,Ставропольский край,,
Северо-Кавказский,Ставропольский край,Лермонтов,нормальная,Ставропольский край,,
Северо-Кавказский,Ставропольский край,Минеральные Воды,нормальная,Ставропольский край,,
Северо-Кавказский,Ставропольский край,Михайловск,нормальная,Ставропольский край,,
Северо-Кавказский,Ставропольский край,Невинномысск,нормальная,Ставропольский край,,
Северо-Кавказский,Ставропольский край,Нефтекумск,нормальная,Ставропольский край,,
Северо-Кавказский,Ставропольский край,Новоалександровск,нормальная,Ставропольский край,,
Северо-Кавказский,Ставропольский край,Новопавловск,нормальная,Ставропольский край,,
Северо-Кавказский,Ставропольский край,Пятигорск,нормальная,Ставропольский край,,
Северо-Кавказский,Ставропольский край,Светлоград,нормальная,Ставропольский край,,
Северо-Кавказский,Ставропольский край,Ставрополь,нормальная,Ставропольский край,,
Северо-Кавказский,Чеченская Республика,Аргун,нормальная,Чеченская Республика,,
Северо-Кавказский,Чеченская Республика,Грозный,нормальная,Чеченская Республика,,
Северо-Кавказский,Чеченская Республика,Гудермес,нормальная,Чеченская Республика,,
Северо-Кавказский,Чеченская Республика,Курчалой,нормальная,Чеченская Республика,,
Северо-Кавказский,Чеченская Республика,Урус-Мартан,нормальная,Чеченская Республика,,
Северо-Кавказский,Чеченская Республика,Шали,нормальная,Чеченская Республика,,
Южный,Астраханская область,Астрахань,влажная,Астраханская область,,
Южный,Астраханская область,Ахтубинск,влажная,Астраханская область,,
Южный,Астраханская область,Знаменск,влажная,Астраханская область,,
Южный,Астраханская область,Камызяк,влажная,Астраханская область,,
Южный,Астраханская область,Нариманов,влажная,Астраханская область,,
Южный,Астраханская область,Харабали,влажная,Астраханская область,,
